XKALM, YKALM, XCZYST, YCZYST
-1.856, -31.282, -2.402, -23.583
-2.896, -27.852, -1.845, -26.042
-2.607, -22.891, -1.560, -16.777
-2.347, -14.949, -2.213, -13.107
-2.230, -5.258, -1.508, -5.513
-2.062, -1.937, -1.455, -0.277
-1.732, 5.929, -0.754, 6.119
-1.954, 12.777, -1.846, 12.301
-1.494, 17.683, -1.633, 21.274
-0.904, 24.966, -1.396, 23.973
-0.937, 27.403, -2.227, 30.086
-1.337, 26.831, -1.183, 25.802
-0.436, 26.095, 1.767, 23.493
-0.238, 26.340, -0.812, 25.536
-0.182, 27.048, 0.093, 25.729
0.385, 27.911, 1.485, 31.264
0.331, 28.008, 0.347, 26.077
0.768, 28.387, 2.562, 26.366
0.757, 30.224, 0.168, 28.798
0.486, 33.140, 0.464, 33.773
0.342, 32.968, -0.307, 31.107
0.320, 33.115, 0.785, 31.912
-0.121, 33.407, 0.221, 33.080
-0.556, 32.829, -1.099, 30.712
-0.602, 32.873, -0.463, 31.486
-0.583, 32.804, -0.444, 32.478
-0.397, 32.624, 0.045, 31.523
-0.584, 32.455, -0.954, 31.536
-0.682, 31.568, -0.400, 30.600
-0.745, 30.746, 0.260, 29.867
-0.975, 29.620, -0.394, 28.946
-1.073, 27.559, -0.538, 28.507
-1.243, 24.464, -1.140, 25.058
-1.155, 20.868, -0.941, 21.603
-0.685, 15.867, -0.571, 18.463
-0.431, 14.089, -0.129, 15.253
-0.069, 9.830, 0.059, 11.871
0.466, 5.834, 0.557, 7.758
0.448, 4.688, 0.090, 5.576
0.175, 2.065, 0.783, 5.200
-0.143, -1.145, -0.488, 2.080
0.160, -5.461, 0.823, -1.957
0.140, -12.245, 0.430, -8.595
0.109, -21.431, 0.748, -15.432
0.277, -30.462, 0.120, -21.858
0.273, -36.962, 0.991, -28.493
0.382, -38.021, 1.135, -29.758
1.066, -37.679, 1.259, -30.457
1.360, -35.863, 1.725, -28.428
1.433, -35.570, 1.250, -28.000
1.530, -35.842, 1.609, -28.402
1.464, -35.998, 1.757, -29.160
1.420, -35.915, 1.532, -28.191
1.035, -34.912, 0.918, -27.893
0.369, -29.402, 0.748, -23.131
0.270, -23.059, 0.420, -18.261
1.262, -11.319, 0.141, -10.350
1.466, -1.534, 2.124, 0.505
